"order_date","region","promo_group","order_count","gross_revenue","avg_order_value"
"2026-05-24 00:00:00.000","EAST","PROMOTIONAL","4","2525.28","631.320000"
"2026-05-24 00:00:00.000","SOUT","ORGANIC","3","1893.96","631.320000"
"2026-05-24 00:00:00.000","WEST","PROMOTIONAL","4","2524.76","631.190000"
"2026-05-25 00:00:00.000","EAST","PROMOTIONAL","10","6276.80","627.680000"
"2026-05-25 00:00:00.000","SOUT","ORGANIC","10","6279.40","627.940000"
"2026-05-25 00:00:00.000","WEST","PROMOTIONAL","9","5650.29","627.810000"
"2026-05-26 00:00:00.000","EAST","PROMOTIONAL","9","5604.66","622.740000"
"2026-05-26 00:00:00.000","SOUT","ORGANIC","10","6227.40","622.740000"
"2026-05-26 00:00:00.000","WEST","PROMOTIONAL","10","6228.70","622.870000"
"2026-05-27 00:00:00.000","EAST","PROMOTIONAL","10","6178.00","617.800000"
"2026-05-27 00:00:00.000","SOUT","ORGANIC","10","6175.40","617.540000"
"2026-05-27 00:00:00.000","WEST","PROMOTIONAL","10","6176.70","617.670000"
"2026-05-28 00:00:00.000","EAST","PROMOTIONAL","10","6126.00","612.600000"
"2026-05-28 00:00:00.000","SOUT","ORGANIC","9","5513.40","612.600000"
"2026-05-28 00:00:00.000","WEST","PROMOTIONAL","10","6124.70","612.470000"
"2026-05-29 00:00:00.000","EAST","PROMOTIONAL","10","6074.00","607.400000"
"2026-05-29 00:00:00.000","SOUT","ORGANIC","10","6076.60","607.660000"
"2026-05-29 00:00:00.000","WEST","PROMOTIONAL","9","5467.77","607.530000"
"2026-05-30 00:00:00.000","EAST","PROMOTIONAL","9","5422.14","602.460000"
"2026-05-30 00:00:00.000","SOUT","ORGANIC","10","6024.60","602.460000"
"2026-05-30 00:00:00.000","WEST","PROMOTIONAL","10","6025.90","602.590000"
"2026-05-31 00:00:00.000","EAST","PROMOTIONAL","10","5975.20","597.520000"
"2026-05-31 00:00:00.000","SOUT","ORGANIC","9","5377.68","597.520000"
"2026-05-31 00:00:00.000","WEST","PROMOTIONAL","10","5973.90","597.390000"
"2026-06-01 00:00:00.000","EAST","PROMOTIONAL","10","5923.20","592.320000"
"2026-06-01 00:00:00.000","SOUT","ORGANIC","10","5925.80","592.580000"
"2026-06-01 00:00:00.000","WEST","PROMOTIONAL","9","5332.05","592.450000"
"2026-06-02 00:00:00.000","EAST","PROMOTIONAL","9","5286.42","587.380000"
"2026-06-02 00:00:00.000","SOUT","ORGANIC","10","5873.80","587.380000"
"2026-06-02 00:00:00.000","WEST","PROMOTIONAL","10","5875.10","587.510000"
